,Geohash,Latitude,Longitude,Tanggal
8020,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8021,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8022,w0whhpx82r,3.556906878948212,98.62359702587128,2020-3-14
8023,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8024,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8025,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8026,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8027,w2svrrg5zx,3.7786075472831726,108.25273811817168,2020-3-14
8028,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8029,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8030,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8031,w221mpewrk,1.668272316455841,101.47484958171844,2020-3-14
8032,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8033,w24q1jnkj0,1.0828426480293274,104.46681082248688,2020-3-14
8034,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8035,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8036,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8037,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8038,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8039,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8040,w24q1jnkj0,1.0828426480293274,104.46681082248688,2020-3-14
8041,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8042,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8043,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8044,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8045,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8046,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8047,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8048,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8049,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8050,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8051,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8052,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8053,w2svrxc67m,3.7783393263816833,108.26113879680634,2020-3-14
8054,w2szr1k4um,4.09428209066391,108.24298560619354,2020-3-14
8055,w2svrxc67m,3.7783393263816833,108.26113879680634,2020-3-14
8056,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8057,qr5h6tnn05,-4.849415123462677,105.58685839176178,2020-3-14
8058,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8059,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8060,w21jufbv5j,1.0267361998558044,102.86615431308746,2020-3-14
8061,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8062,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8063,w21m1y9ny4,0.915783941745758,103.08635294437408,2020-3-14
8064,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8065,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8066,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8067,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8068,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8069,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8070,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8071,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8072,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8073,w24q1jnkj0,1.0828426480293274,104.46681082248688,2020-3-14
8074,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8075,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8076,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8077,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8078,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8079,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8080,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8081,w0v6ghgp4t,4.729472100734711,97.5188809633255,2020-3-14
8082,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8083,w221mpewrk,1.668272316455841,101.47484958171844,2020-3-14
8084,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-14
8085,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-15
8086,w20zcx0t5q,1.4016500115394592,102.37143695354462,2020-3-15
8087,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-15
8088,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-15
8089,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-15
8090,qr5n9vesb2,-4.451391398906708,105.55047690868378,2020-3-15
8091,w20zcx0t5q,1.4016500115394592,102.37143695354462,2020-3-15
8092,w21m1y9ny4,0.915783941745758,103.08635294437408,2020-3-15
8093,w21m1y9ny4,0.915783941745758,103.08635294437408,2020-3-15
8094,w20zcx0t5q,1.4016500115394592,102.37143695354462,2020-3-15
