,Hari,Bulan,Tahun,WD10M,WD2M,T2M
597,1,5,2016,173.5,166.88,24.85
598,1,5,2016,281.44,281.31,29.1
599,1,5,2016,281.44,281.31,29.1
600,1,5,2016,173.5,166.88,24.85
601,1,5,2016,173.5,166.88,24.85
602,1,5,2016,109.81,111.0,29.41
603,1,5,2016,134.25,134.0,27.06
604,2,5,2016,100.81,101.06,29.08
605,2,5,2016,138.69,138.69,29.85
606,2,5,2016,138.69,138.69,29.85
607,2,5,2016,118.12,118.12,30.29
608,2,5,2016,138.69,138.69,29.85
609,2,5,2016,138.69,138.69,29.85
610,2,5,2016,138.69,138.69,29.85
611,2,5,2016,139.56,139.62,30.15
612,2,5,2016,118.12,118.12,30.29
613,2,5,2016,138.69,138.69,29.85
614,2,5,2016,118.12,118.12,30.29
615,2,5,2016,136.81,137.44,27.83
616,2,5,2016,138.69,138.69,29.85
617,2,5,2016,139.56,139.62,30.15
618,2,5,2016,118.12,118.12,30.29
619,2,5,2016,118.12,118.12,30.29
620,2,5,2016,263.0,264.56,28.45
621,2,5,2016,136.81,137.44,27.83
622,2,5,2016,136.81,137.44,27.83
623,2,5,2016,94.94,96.56,27.21
624,2,5,2016,138.69,138.69,29.85
625,2,5,2016,118.12,118.12,30.29
626,2,5,2016,94.94,96.56,27.21
627,2,5,2016,139.56,139.62,30.15
628,2,5,2016,138.69,138.69,29.85
629,2,5,2016,138.69,138.69,29.85
630,2,5,2016,138.69,138.69,29.85
631,2,5,2016,118.12,118.12,30.29
632,2,5,2016,138.69,138.69,29.85
633,2,5,2016,138.69,138.69,29.85
634,2,5,2016,138.69,138.69,29.85
635,2,5,2016,138.69,138.69,29.85
636,2,5,2016,138.69,138.69,29.85
637,3,5,2016,102.12,102.19,30.21
638,3,5,2016,126.5,126.5,29.74
639,3,5,2016,89.56,89.62,30.15
640,3,5,2016,89.56,89.62,30.15
641,3,5,2016,89.56,89.62,30.15
642,3,5,2016,102.12,102.19,30.21
643,3,5,2016,102.12,102.19,30.21
644,3,5,2016,126.5,126.5,29.74
645,3,5,2016,132.75,132.56,27.77
646,3,5,2016,133.88,133.44,28.23
647,3,5,2016,132.75,132.56,27.77
648,3,5,2016,89.56,89.62,30.15
649,3,5,2016,143.06,151.5,24.97
650,3,5,2016,129.25,129.06,28.03
651,3,5,2016,113.62,115.38,27.71
652,3,5,2016,129.25,129.06,28.03
653,3,5,2016,128.62,133.12,27.19
654,3,5,2016,133.88,133.44,28.23
655,3,5,2016,156.44,187.88,24.18
656,3,5,2016,156.44,187.88,24.18
657,3,5,2016,128.88,130.88,27.09
658,3,5,2016,128.88,130.88,27.09
